2023-11-28 05:24:56 startup archives install
2023-11-28 05:24:56 install base-passwd:amd64 <none> 3.6.1
2023-11-28 05:24:56 status half-installed base-passwd:amd64 3.6.1
2023-11-28 05:24:56 status unpacked base-passwd:amd64 3.6.1
2023-11-28 05:24:56 configure base-passwd:amd64 3.6.1 3.6.1
2023-11-28 05:24:56 status half-configured base-passwd:amd64 3.6.1
2023-11-28 05:24:57 status installed base-passwd:amd64 3.6.1
2023-11-28 05:24:57 startup archives install
2023-11-28 05:24:57 install base-files:amd64 <none> 12.4+deb12u2
2023-11-28 05:24:57 status half-installed base-files:amd64 12.4+deb12u2
2023-11-28 05:24:57 status unpacked base-files:amd64 12.4+deb12u2
2023-11-28 05:24:57 configure base-files:amd64 12.4+deb12u2 12.4+deb12u2
2023-11-28 05:24:57 status half-configured base-files:amd64 12.4+deb12u2
2023-11-28 05:24:57 status installed base-files:amd64 12.4+deb12u2
2023-11-28 05:24:57 startup archives install
2023-11-28 05:24:57 upgrade dpkg 1.21.22 1.21.22
2023-11-28 05:24:57 status half-configured dpkg 1.21.22
2023-11-28 05:24:57 status unpacked dpkg 1.21.22
2023-11-28 05:24:57 status half-installed dpkg 1.21.22
2023-11-28 05:24:57 status unpacked dpkg:amd64 1.21.22
2023-11-28 05:24:57 configure dpkg:amd64 1.21.22 1.21.22
2023-11-28 05:24:57 status half-configured dpkg:amd64 1.21.22
2023-11-28 05:24:57 status installed dpkg:amd64 1.21.22
2023-11-28 05:24:57 startup archives install
2023-11-28 05:24:57 install libc6:amd64 <none> 2.36-9+deb12u2
2023-11-28 05:24:57 status half-installed libc6:amd64 2.36-9+deb12u2
2023-11-28 05:24:58 status unpacked libc6:amd64 2.36-9+deb12u2
2023-11-28 05:24:58 configure libc6:amd64 2.36-9+deb12u2 2.36-9+deb12u2
2023-11-28 05:24:58 status half-configured libc6:amd64 2.36-9+deb12u2
2023-11-28 05:24:58 status installed libc6:amd64 2.36-9+deb12u2
2023-11-28 05:24:58 startup archives install
2023-11-28 05:24:58 install perl-base:amd64 <none> 5.36.0-7
2023-11-28 05:24:58 status half-installed perl-base:amd64 5.36.0-7
2023-11-28 05:24:58 status unpacked perl-base:amd64 5.36.0-7
2023-11-28 05:24:58 configure perl-base:amd64 5.36.0-7 5.36.0-7
2023-11-28 05:24:58 status half-configured perl-base:amd64 5.36.0-7
2023-11-28 05:24:58 status installed perl-base:amd64 5.36.0-7
2023-11-28 05:24:58 startup archives install
2023-11-28 05:24:58 install mawk:amd64 <none> 1.3.4.20200120-3.1
2023-11-28 05:24:58 status half-installed mawk:amd64 1.3.4.20200120-3.1
2023-11-28 05:24:58 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-11-28 05:24:58 configure mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2023-11-28 05:24:58 status half-configured mawk:amd64 1.3.4.20200120-3.1
2023-11-28 05:24:58 status installed mawk:amd64 1.3.4.20200120-3.1
2023-11-28 05:24:58 startup archives unpack
2023-11-28 05:24:58 install libacl1:amd64 <none> 2.3.1-3
2023-11-28 05:24:58 status half-installed libacl1:amd64 2.3.1-3
2023-11-28 05:24:58 status unpacked libacl1:amd64 2.3.1-3
2023-11-28 05:24:58 install adduser:all <none> 3.134
2023-11-28 05:24:58 status half-installed adduser:all 3.134
2023-11-28 05:24:58 status unpacked adduser:all 3.134
2023-11-28 05:24:58 install apt:amd64 <none> 2.6.1
2023-11-28 05:24:58 status half-installed apt:amd64 2.6.1
2023-11-28 05:24:59 status unpacked apt:amd64 2.6.1
2023-11-28 05:24:59 install libapt-pkg6.0:amd64 <none> 2.6.1
2023-11-28 05:24:59 status half-installed libapt-pkg6.0:amd64 2.6.1
2023-11-28 05:24:59 status unpacked libapt-pkg6.0:amd64 2.6.1
2023-11-28 05:24:59 install libattr1:amd64 <none> 1:2.5.1-4
2023-11-28 05:24:59 status half-installed libattr1:amd64 1:2.5.1-4
